,Score,Features
53,0.9681159420289855,"['cp', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
54,0.9681159420289855,"['cp', 'chol', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
55,0.9681159420289855,"['cp', 'chol', 'exang', 'oldpeak', 'slope', 'thal', 'target']"
56,0.9681159420289855,"['cp', 'chol', 'fbs', 'exang', 'oldpeak', 'ca', 'target']"
57,0.9672619047619048,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'thal', 'target']"
58,0.9671428571428571,"['sex', 'cp', 'trestbps', 'fbs', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
59,0.9671428571428571,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'thal', 'target']"
60,0.9671428571428571,"['cp', 'thalach', 'oldpeak', 'ca', 'thal', 'target']"
61,0.9671428571428571,"['age', 'sex', 'chol', 'thalach', 'exang', 'ca', 'thal', 'target']"
62,0.9669540229885057,"['age', 'sex', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'ca', 'target']"
63,0.9666666666666667,"['age', 'sex', 'chol', 'fbs', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
64,0.9658119658119659,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
65,0.9657738095238095,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'target']"
66,0.9655172413793104,"['sex', 'cp', 'trestbps', 'chol', 'slope', 'ca', 'thal', 'target']"
67,0.9655172413793104,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'slope', 'ca', 'thal', 'target']"
68,0.9655172413793104,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'oldpeak', 'ca', 'thal', 'target']"
69,0.9655172413793104,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'ca', 'thal', 'target']"
70,0.9655172413793103,"['age', 'sex', 'chol', 'fbs', 'thalach', 'exang', 'ca', 'thal', 'target']"
71,0.9655172413793103,"['age', 'sex', 'chol', 'fbs', 'thalach', 'exang', 'ca', 'target']"
72,0.9652173913043478,"['cp', 'chol', 'fbs', 'exang', 'oldpeak', 'thal', 'target']"
73,0.9652173913043478,"['age', 'sex', 'chol', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
74,0.9648093841642229,"['cp', 'fbs', 'restecg', 'thalach', 'exang', 'slope', 'ca', 'target']"
75,0.9643874643874645,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'slope', 'ca', 'thal', 'target']"
76,0.9643874643874644,"['cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'target']"
77,0.9643874643874644,"['sex', 'cp', 'trestbps', 'oldpeak', 'ca', 'thal', 'target']"
78,0.9643874643874644,"['sex', 'cp', 'trestbps', 'fbs', 'oldpeak', 'ca', 'thal', 'target']"
79,0.9642857142857144,"['age', 'sex', 'chol', 'thalach', 'oldpeak', 'ca', 'thal', 'target']"
80,0.9642857142857144,"['cp', 'chol', 'fbs', 'thalach', 'oldpeak', 'thal', 'target']"
